發言日期,發言時間,公司代號,公司名稱,主旨,ret
2024-07-19,15:04:01,9958,世紀鋼,本公司董事會決議發行無擔保永續發展轉換公司債,
2024-07-31,15:36:38,2383,台光電,本公司董事會決議發行國內第六次無擔保可轉換公司債,
2024-07-31,16:02:42,2383,台光電,本公司董事會決議發行國內第七次無擔保可轉換公司債,
2024-08-08,14:09:15,2548,華固,董事會決議發行國內第三次及第四次無擔保轉換公司債,
2024-08-09,16:41:19,3516,亞帝歐,"公告本公司董事會決議發行國內第一次有擔保轉換公司債
(更正本次增資資金用途)",
2024-09-12,15:13:32,3045,台灣大,"本公司董事會決議發行國內第四次無擔保轉換公司債
相關事宜",
2024-09-12,15:15:05,3045,台灣大,"本公司董事會決議發行國內第五次無擔保轉換公司債
相關事宜",
2024-09-13,20:27:30,1101,台泥,"本公司董事會決議發行113年度第一次海外無擔保
轉換公司債",
2024-09-14,12:02:06,3702,大聯大,本公司董事會決議發行國內第二次及第三次無擔保轉換公司債,
2024-09-30,14:49:05,3047,訊舟,公告本公司董事會決議發行國內第八次無擔保轉換公司債,
2024-10-08,16:02:47,1316,上曜,本公司董事會決議發行國內第六次有擔保可轉換公司債,
2024-11-01,16:26:38,2351,順德,公告董事會決議發行國內第一次無擔保轉換公司債。,
2024-11-06,15:28:21,3138,耀登,本公司董事會決議發行第二次無擔保轉換公司債,
2024-11-07,17:21:28,6477,安集,公告本公司董事會決議發行國內第五次無擔保轉換公司債。,
2024-11-07,17:25:37,6177,達麗,公告本公司董事會決議發行國內第七次無擔保轉換公司債,
2024-11-08,15:11:38,6846,綠茵,本公司董事會決議發行國內第一次及第二次無擔保轉換公司債,
2024-11-11,22:34:23,2314,台揚,本公司董事會決議發行國內私募無擔保可轉換公司債,
2024-11-12,17:44:02,6451,訊芯-KY,"公告本公司董事會決議發行中華民國境內
第二次無擔保轉換公司債案",
2024-11-12,20:18:24,3548,兆利,公告董事會決議發行國內第三次無擔保轉換公司債,
2024-11-20,14:54:22,4919,新唐,本公司董事會決議發行113年度第一次海外無擔保可轉換公司債,
2024-12-06,13:56:54,6854,錼創科技-KY創,"本公司董事會決議發行中華民國境內第一次有擔保
轉換公司債",
2024-12-19,17:10:35,6177,達麗,"公告本公司董事會決議發行國內第七次無擔保轉換公司債
(通過變更發行總額)",
2024-12-19,17:40:04,2530,華建,"本公司董事會決議發行國內第三次及第四次無擔保
轉換公司債",
2025-03-04,17:11:32,3131,弘塑,"本公司董事會決議發行國內第一次及第二次無擔保
轉換公司債",
2025-03-10,17:43:17,6290,良維,公告本公司董事會決議發行國內第十次無擔保轉換公司債,
2025-03-11,18:13:26,1472,三洋實業,"本公司董事會決議發行國內第二次有擔保轉換公司債暨
第三次無擔保轉換公司債",
2025-03-11,17:08:29,3188,鑫龍騰,"公告本公司董事會決議發行國內第二次及第三次
無擔保轉換公司債",
2025-03-14,19:35:20,8411,福貞-KY,公告本公司董事會決議發行中華民國境內第三次有擔保轉換公司債,
2025-03-21,14:21:37,4555,氣立,"補充說明114/03/04董事會決議發行114年國內第四次有擔
保轉換公司債相關事宜",
2025-04-07,16:59:44,7556,意德士科技,"公告本公司董事會決議發行國內第一次及第二次無擔保
轉換公司債",
2025-05-06,16:41:11,6207,雷科,"公告本公司董事會決議發行國內第五次及第六次無擔保
轉換公司債",
2025-05-08,19:42:33,6692,進能服,"公告本公司董事會決議發行國內第一次無擔保轉換公司債
(綠色債券)",
2025-05-09,16:55:03,4442,竣邦-KY,"公告本公司董事會決議發行中華民國境內第一次
無擔保轉換公司債",
